Categories,Year,Cash,Cards,Mobile app,Other
Day-to-day items,2019,0.7364299595258754,0.22962871041709856,0.003956785075389548,0.02998454498163647
Day-to-day items,2022,0.6090159533015778,0.348073928986104,0.02628026885910024,0.01662984885321799
Durable goods,2019,0.45400276709750387,0.5099475066335114,0.015440171355258618,0.02060955491372611
Durable goods,2022,0.3936820356032993,0.5137704077917788,0.04373330672934447,0.04881424987557739
Restaurants and hotels,2019,0.8347538815697807,0.13915909684059927,0.00946678101193841,0.016620240577681626
Restaurants and hotels,2022,0.680818824825326,0.25688167769960746,0.031005944313085523,0.031293553161981055
Vending machines,2019,0.7687115960508937,0.18917257369726503,0.014882855528101018,0.027232974723740273
Vending machines,2022,0.7438922054628004,0.20587578011049978,0.027994755235676395,0.022237259191023383
Petrol stations,2019,0.511228217596187,0.46941755663957424,0.009075622290830488,0.010278603473408298
Petrol stations,2022,0.5101895700876401,0.44592452814090466,0.026682896944886944,0.017203004826568294
Culture and sports ,2019,0.7389570311470676,0.1906294160736359,0.007800747938721074,0.06261280484057546
Culture and sports ,2022,0.5913365431597546,0.3009697917242211,0.04573782097783351,0.06195584413819079
Other,2019,0.7113642307386462,0.2147423638701854,0.009113905405259822,0.06477949998590861
Other,2022,0.523242745497425,0.3120310434300716,0.04362481404908768,0.12110139702341571
